schemaname,tablename,indexname,indexdef
public,ai_plans,ai_plans_pkey,CREATE UNIQUE INDEX ai_plans_pkey ON public.ai_plans USING btree (id)
public,ai_plans,ai_plans_share_token_key,CREATE UNIQUE INDEX ai_plans_share_token_key ON public.ai_plans USING btree (share_token)
public,audio_guides,audio_guides_pkey,CREATE UNIQUE INDEX audio_guides_pkey ON public.audio_guides USING btree (id)
public,badges,badges_badge_key_key,CREATE UNIQUE INDEX badges_badge_key_key ON public.badges USING btree (badge_key)
public,badges,badges_pkey,CREATE UNIQUE INDEX badges_pkey ON public.badges USING btree (id)
public,checkins,checkins_pkey,CREATE UNIQUE INDEX checkins_pkey ON public.checkins USING btree (id)
public,checkins,idx_checkins_recent,CREATE INDEX idx_checkins_recent ON public.checkins USING btree (created_at DESC)
public,checkins,idx_checkins_user,CREATE INDEX idx_checkins_user ON public.checkins USING btree (user_id)
public,checkins,idx_checkins_venue,CREATE INDEX idx_checkins_venue ON public.checkins USING btree (venue_id)
public,daily_digests,daily_digests_digest_date_key,CREATE UNIQUE INDEX daily_digests_digest_date_key ON public.daily_digests USING btree (digest_date)
public,daily_digests,daily_digests_pkey,CREATE UNIQUE INDEX daily_digests_pkey ON public.daily_digests USING btree (id)
public,daily_specials,daily_specials_pkey,CREATE UNIQUE INDEX daily_specials_pkey ON public.daily_specials USING btree (id)
public,event_attendance,event_attendance_pkey,"CREATE UNIQUE INDEX event_attendance_pkey ON public.event_attendance USING btree (user_id, event_id)"
public,event_attendance,idx_event_attendance_event,CREATE INDEX idx_event_attendance_event ON public.event_attendance USING btree (event_id)
public,event_series,event_series_pkey,CREATE UNIQUE INDEX event_series_pkey ON public.event_series USING btree (id)
public,event_series,event_series_slug_key,CREATE UNIQUE INDEX event_series_slug_key ON public.event_series USING btree (slug)
public,event_series,idx_event_series_dates,"CREATE INDEX idx_event_series_dates ON public.event_series USING btree (start_date, end_date) WHERE (is_active = true)"
public,event_series,idx_event_series_featured,CREATE INDEX idx_event_series_featured ON public.event_series USING btree (is_featured) WHERE (is_featured = true)
public,event_series,idx_event_series_slug,CREATE INDEX idx_event_series_slug ON public.event_series USING btree (slug)
public,event_submissions,event_submissions_pkey,CREATE UNIQUE INDEX event_submissions_pkey ON public.event_submissions USING btree (id)
public,event_submissions,idx_event_subs_pending,CREATE INDEX idx_event_subs_pending ON public.event_submissions USING btree (status) WHERE (status = 'pending'::submission_status)
public,events,events_pkey,CREATE UNIQUE INDEX events_pkey ON public.events USING btree (id)
public,events,idx_events_active_upcoming,CREATE INDEX idx_events_active_upcoming ON public.events USING btree (start_datetime) WHERE ((is_active = true) AND (status = 'approved'::submission_status))
public,events,idx_events_category,CREATE INDEX idx_events_category ON public.events USING btree (category)
public,events,idx_events_featured,CREATE INDEX idx_events_featured ON public.events USING btree (is_featured) WHERE (is_featured = true)
public,events,idx_events_series,CREATE INDEX idx_events_series ON public.events USING btree (series_id) WHERE (series_id IS NOT NULL)
public,events,idx_events_start,CREATE INDEX idx_events_start ON public.events USING btree (start_datetime)
public,events,idx_events_status,CREATE INDEX idx_events_status ON public.events USING btree (status)
public,events,idx_events_venue,CREATE INDEX idx_events_venue ON public.events USING btree (venue_id)
public,favorites,favorites_pkey,"CREATE UNIQUE INDEX favorites_pkey ON public.favorites USING btree (user_id, venue_id)"
public,favorites,idx_favorites_user,CREATE INDEX idx_favorites_user ON public.favorites USING btree (user_id)
public,favorites,idx_favorites_venue,CREATE INDEX idx_favorites_venue ON public.favorites USING btree (venue_id)
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,raw_events,idx_raw_events_created_at,CREATE INDEX idx_raw_events_created_at ON public.raw_events USING btree (created_at)
public,raw_events,idx_raw_events_parsed,CREATE INDEX idx_raw_events_parsed ON public.raw_events USING btree (parsed)
public,raw_events,idx_raw_events_source_name,CREATE INDEX idx_raw_events_source_name ON public.raw_events USING btree (source_name)
public,raw_events,raw_events_pkey,CREATE UNIQUE INDEX raw_events_pkey ON public.raw_events USING btree (id)
public,raw_events,raw_events_source_url_key,CREATE UNIQUE INDEX raw_events_source_url_key ON public.raw_events USING btree (source_url)
public,reports,idx_reports_pending,CREATE INDEX idx_reports_pending ON public.reports USING btree (status) WHERE (status = 'pending'::submission_status)
public,reports,reports_pkey,CREATE UNIQUE INDEX reports_pkey ON public.reports USING btree (id)
public,scrape_log,scrape_log_pkey,CREATE UNIQUE INDEX scrape_log_pkey ON public.scrape_log USING btree (id)
public,scrape_sources,scrape_sources_pkey,CREATE UNIQUE INDEX scrape_sources_pkey ON public.scrape_sources USING btree (id)
public,seasonal_modes,seasonal_modes_mode_key_key,CREATE UNIQUE INDEX seasonal_modes_mode_key_key ON public.seasonal_modes USING btree (mode_key)
public,seasonal_modes,seasonal_modes_pkey,CREATE UNIQUE INDEX seasonal_modes_pkey ON public.seasonal_modes USING btree (id)
public,spatial_ref_sys,spatial_ref_sys_pkey,CREATE UNIQUE INDEX spatial_ref_sys_pkey ON public.spatial_ref_sys USING btree (srid)
public,tip_upvotes,tip_upvotes_pkey,"CREATE UNIQUE INDEX tip_upvotes_pkey ON public.tip_upvotes USING btree (user_id, tip_id)"
public,tips,idx_tips_venue,CREATE INDEX idx_tips_venue ON public.tips USING btree (venue_id) WHERE (is_active = true)
public,tips,tips_pkey,CREATE UNIQUE INDEX tips_pkey ON public.tips USING btree (id)
public,user_badges,user_badges_pkey,"CREATE UNIQUE INDEX user_badges_pkey ON public.user_badges USING btree (user_id, badge_id)"
public,venue_aliases,idx_venue_aliases_normalized,CREATE INDEX idx_venue_aliases_normalized ON public.venue_aliases USING btree (normalized_alias)
public,venue_aliases,venue_aliases_pkey,CREATE UNIQUE INDEX venue_aliases_pkey ON public.venue_aliases USING btree (id)
public,venue_claims,idx_claims_pending,CREATE INDEX idx_claims_pending ON public.venue_claims USING btree (status) WHERE (status = 'pending'::claim_status)
public,venue_claims,venue_claims_pkey,CREATE UNIQUE INDEX venue_claims_pkey ON public.venue_claims USING btree (id)
public,venue_claims,venue_claims_user_id_venue_id_key,"CREATE UNIQUE INDEX venue_claims_user_id_venue_id_key ON public.venue_claims USING btree (user_id, venue_id)"
public,venue_submissions,idx_venue_subs_pending,CREATE INDEX idx_venue_subs_pending ON public.venue_submissions USING btree (status) WHERE (status = 'pending'::submission_status)
public,venue_submissions,venue_submissions_pkey,CREATE UNIQUE INDEX venue_submissions_pkey ON public.venue_submissions USING btree (id)
public,venues,idx_venues_active,CREATE INDEX idx_venues_active ON public.venues USING btree (is_active) WHERE (is_active = true)
public,venues,idx_venues_category,CREATE INDEX idx_venues_category ON public.venues USING btree (category)
public,venues,idx_venues_hidden_gem,CREATE INDEX idx_venues_hidden_gem ON public.venues USING btree (is_hidden_gem) WHERE (is_hidden_gem = true)
public,venues,idx_venues_location,CREATE INDEX idx_venues_location ON public.venues USING gist (location)
public,venues,idx_venues_moods,CREATE INDEX idx_venues_moods ON public.venues USING gin (moods)
public,venues,idx_venues_name_trgm,CREATE INDEX idx_venues_name_trgm ON public.venues USING gin (name gin_trgm_ops)
public,venues,idx_venues_neighborhood,CREATE INDEX idx_venues_neighborhood ON public.venues USING btree (neighborhood)
public,venues,idx_venues_slug,CREATE INDEX idx_venues_slug ON public.venues USING btree (slug)
public,venues,idx_venues_tags,CREATE INDEX idx_venues_tags ON public.venues USING gin (tags)
public,venues,venues_google_place_id_key,CREATE UNIQUE INDEX venues_google_place_id_key ON public.venues USING btree (google_place_id)
public,venues,venues_pkey,CREATE UNIQUE INDEX venues_pkey ON public.venues USING btree (id)
public,venues,venues_slug_key,CREATE UNIQUE INDEX venues_slug_key ON public.venues USING btree (slug)
